,ML1,ML2,ML6,ML3,ML7,ML4,ML5,,
ONEOFF_PURCHASES,0.958758258,0.126126946,-0.071685927,-6.11E-05,-0.015875388,0.204532895,-0.119738722,1,"""ONEOFF_PURCHASES"""
PURCHASES,0.910653192,0.257666143,-0.094191287,0.006452304,-0.000872737,0.162561936,0.258407592,1,"""PURCHASES"""
avgamtperpur,0.789049545,-0.113281945,-0.02931492,0.035756992,0.030756631,-0.005240893,0.132012022,,
PAYMENTS,0.608162933,0.085346139,0.218904792,0.058131844,0.406395366,0.06515843,0.145996276,1,"""PAYMENTS"""
PURCHASES_INSTALLMENTS_FREQUENCY,0.032346788,0.970222987,-0.128888944,-0.084140209,-0.00091758,-0.084103221,0.147834378,1,"""PURCHASES_INSTALLMENTS_FREQUENCY"""
PURCHASES_FREQUENCY,0.093178987,0.867329457,-0.179585887,-0.115587305,-0.010100189,0.302270236,0.074045286,1,"""PURCHASES_FREQUENCY"""
PURCHASES_TRX,0.465831506,0.503547282,-0.089005091,0.045350022,0.002124276,0.313019985,0.293781648,,
CASH_ADVANCE_FREQUENCY,-0.006390242,-0.121304113,0.873214298,0.369134573,-0.02248191,-0.001576335,-0.01149599,1,"""CASH_ADVANCE_FREQUENCY"""
CASH_ADVANCE_TRX,0.017263269,-0.045106246,0.802118071,0.255735463,0.124474188,0.013354374,0.002355712,,
TENURE,0.042986242,0.057811266,-0.154319694,0.077804219,0.031573148,0.049032171,0.037767303,,
BALANCE,0.178467628,0.024903706,0.13670747,0.924086235,0.292454311,0.048711258,0.044784663,1,"""BALANCE"""
limitusage,-0.009570196,-0.097815404,0.18025337,0.542192582,-0.051610693,-0.04848806,-0.009481215,,
CREDIT_LIMIT,0.295789832,0.087569105,-0.006446933,0.392186599,0.334002237,0.212153757,0.108740881,1,"""CREDIT_LIMIT"""
MINIMUM_PAYMENTS,0.069626741,0.038929786,-0.026769393,0.382302669,0.102525535,-0.058221813,0.095255422,,
PRC_FULL_PAYMENT,0.096971744,0.204912357,-0.106502785,-0.369877619,0.025513596,0.076672412,0.074444405,1,"""PRC_FULL_PAYMENT"""
BALANCE_FREQUENCY,0.053090485,0.235534213,0.121510098,0.322474358,-0.054823638,0.167415906,0.024663698,,
paymenttominpayment,0.014011129,0.009474619,-0.005697515,-0.051530099,0.021218952,-0.013047737,0.013871842,,
avgamtpercashadv,0.026425294,-0.023215522,-0.048584426,-0.037725626,0.806826624,-0.033781789,-0.004733454,,
CASH_ADVANCE,0.037527675,-0.078383289,0.635654611,0.217306076,0.703190338,-0.013013912,-0.016507867,1,"""CASH_ADVANCE"""
ONEOFF_PURCHASES_FREQUENCY,0.317550651,0.202809917,-0.088595439,-0.018049104,-0.015106802,0.919034183,-0.002486121,1,"""ONEOFF_PURCHASES_FREQUENCY"""
INSTALLMENTS_PURCHASES,0.391751609,0.377385991,-0.091030784,0.015233614,0.027020396,0.008478455,0.830836558,1,"""INSTALLMENTS_PURCHASES"""
,,,,,,,,12,
